"";"idno";"INTNUM1";"rowsum"
"970";1589;9021;65187259,3998306
"1560";2498;3150;65680108,474608
"369";642;25131;65843310,3001273
"1622";2603;10106;66049988,0164478
"826";1388;11033;66125225,6852905
"1341";2149;9074;66283902,3968632
"1617";2595;8262;66310014,2490887
"150";220;38060;68300001,5244597
"1497";2408;4056;69401503,7606615
"1142";1844;3010;69471308,9345487
"635";1105;22052;69631676,9309879
"824";1386;11030;69941114,2651125
"721";1226;3130;70032278,1778721
"1257";2017;23085;70166510,6817297
"1130";1830;2005;71134637,7980502
"886";1474;10086;71278017,0461214
"309";536;21082;71283911,7197119
"787";1332;3165;71827906,1298009
"614";1066;1014;71861666,6484953
"1081";1753;12045;72127451,8692668
"151";221;38060;72508905,7826199
"1307";2092;39020;72834108,9820264
"959";1576;10090;73992558,1885546
"41";57;10080;74062337,9220858
"644";1117;39025;75133410,1114033
"1599";2558;3040;75292620,3885546
"171";253;24094;76033442,3754983
"638";1109;39025;78019165,1891481
"1172";1888;4114;78086008,5025012
"1653";2649;21040;78496569,085884
"844";1412;11008;78768915,5689701
"643";1115;39025;79240666,5434508
"1572";2518;3104;79414576,8039849
"717";1219;1030;82626553,7636288
"751";1271;39003;85432011,9974567
"893";1487;10050;85475733,0983469
"1336";2131;2011;85662194,7321748
"740";1254;39003;91412389,0407801
"980";1604;10120;91548820,3867742
"42";58;10080;91670783,212887
"776";1309;3038;95203518,1458247
"1305";2089;39020;104602582,904282
