"";"idno";"INTNUM1";"rowsum"
"1287";2064;25056;11354267,8704537
"749";1269;39003;11370369,7784656
"1670";2676;2002;11374643,8378128
"1450";2323;9009;11376687,3820264
"1661";2662;19003;11380408,558881
"1405";2245;15043;11383201,5719374
"1187";1907;10108;11388331,3760917
"1104";1793;6007;11405463,7102163
"813";1373;15044;11429809,6876644
"375";653;20070;11449127,9891481
"307";528;21082;11488173,6900383
"1095";1780;1030;11501540,7891481
"771";1302;3117;11517392,1541333
"1463";2350;6100;11540045,5879612
"430";765;37001;11550039,3398899
"1640";2625;21041;11550708,6449344
"469";820;39051;11561821,4360324
"1498";2409;4056;11563374,3214923
"138";199;18038;11570449,1398899
"234";376;24038;11596555,9440442
"298";502;29090;11604886,7844003
"1112";1805;12046;11625757,2467149
"1485";2387;3132;11629126,0389997
"1248";2003;19002;11658308,8817297
"896";1490;10039;11668926,7921155
"1233";1983;9082;11672080,6935991
"897";1491;10050;11679817,4585843
"1641";2628;21041;11684593,7796525
"407";718;25024;11686814,6805428
"1071";1739;8268;11687676,7677831
"1008";1649;8258;11689385,7612549
"1401";2238;1086;11691345,4781689
"486";857;10017;11693535,9743113
"417";739;22025;11707711,8087327
"99";142;19002;11710295,5025012
"115";165;7008;11714705,4520561
"1263";2024;19051;11718170,5214923
"1203";1934;8102;11726013,8668929
"17";22;19034;11741523,9541333
"1217";1956;8230;11744902,4395932
"1109";1802;12046;11753348,8722341
"229";368;24038;11755437,0674864
"1356";2172;8187;11756171,0484953
"127";182;15018;11767529,7660027
"1654";2653;20062;11768476,8200086
"1459";2343;6100;11768982,0117
"26";39;19034;11791475,6508692
"610";1062;1071;11792623,9369226
"293";491;29090;11796110,7155576
"1376";2205;39052;11797309,3766852
"405";716;25024;11814482,737516
"440";781;15050;11814899,6312846
"815";1375;15044;11839503,6734211
"955";1572;18064;11845430,0099196
"317";546;21082;11852436,4479018
"382";662;20070;11861282,5179315
"936";1538;18013;11873380,5743113
"1188";1908;10108;11878603,4051718
"595";1041;21040;11888124,6775754
"1144";1848;3010;11891751,5725309
"1579";2528;9044;11906216,0502757
"223";359;23048;11913325,8099196
"557";977;8250;11931668,4134804
"874";1457;11078;11945643,3547267
"1037";1686;3174;12028764,0360324
"34";49;18026;12044084,306062
"1635";2618;21041;12062154,4022045
"1437";2296;11082;12089110,8176347
"790";1339;3165;12118823,7007208
"596";1042;21040;12132625,9416704
"622";1081;1014;12139921,949979
"524";929;38074;12149981,2556169
"1301";2083;39020;12227148,5754982
"1121";1816;2005;12279136,9695635
"1327";2121;30002;12286271,9019077
"1484";2386;3132;12291709,7214923
"913";1509;12031;12313097,9642223
"1667";2671;2002;12313612,3001273
"182";270;24094;12322845,0200086
"118";169;7008;12351602,0639255
"1443";2307;11013;12393940,3262401
"360";628;25035;12415753,2692668
"324";560;21033;12430677,2603647
"409";720;25024;12431660,9689701
"553";973;8250;12434565,4211956
"1074";1745;12045;12482021,9713439
"1675";2682;9093;12489839,6870709
"1020";1664;8258;12491331,401611
"753";1275;39003;12496115,8686733
"459";805;22089;12506342,9167445
"214";334;21017;12542300,4781689
"1431";2287;11013;12552271,0591778
"159";236;10092;12555515,7891481
"1049";1706;8268;12571411,474608
"260";427;25024;12572322,1873677
"1662";2664;19003;12604187,2253499
"651";1133;2074;12613816,8004241
"77";105;30027;12625609,907249
"823";1385;11030;12627781,1725309
"114";164;7008;12627815,3642223
"1270";2033;9061;12640686,5327683
"1236";1987;9082;12671156,3250531
"142";207;18038;12682935,8437475
"1332";2126;2011;12683357,7019077
"1045";1699;8254;12689962,0306911
"992";1625;10081;12699861,8027979
"509";899;39060;12713907,05443
"74";98;15051;12730220,3879612
"416";736;20044;12733045,7422638
"291";487;20022;12740642,2568039
"510";900;7008;12748781,5137772
"207";317;25053;12754428,7832134
"335";575;21033;12754667,3867742
"1563";2504;10103;12759958,6312846
"439";780;15050;12762982,2289107
"328";565;26015;12766990,6027979
"1289";2067;25056;12771412,0395932
"857";1429;9063;12783833,7232727
"356";622;25035;12784996,5410769
"1165";1878;2011;12789530,8965665
"667";1154;10091;12804298,6704537
"744";1262;39003;12814025,106062
"1348";2162;8187;12822339,4027979
"1364";2187;39022;12830929,6579908
"1538";2467;12044;12871997,2069522
"86";121;19061;12874821,601611
"1300";2080;39059;12893289,3244597
"1345";2157;9074;12943697,012887
"305";520;25018;12956720,5944893
"108";157;7008;12974090,9066555
"722";1228;3200;12988730,664519
"986";1615;10082;13055204,4864775
"487";858;10017;13073921,3909285
"523";928;38074;13096194,1019077
"1043";1695;8265;13097416,4182282
"1549";2483;3104;13098055,2164478
"185";275;25065;13114951,5838068
"241";400;25106;13118072,2585843
"200";303;21021;13176073,6176347
"1018";1661;8258;13209882,0674864
"914";1510;12031;13215511,4888514
"525";931;38074;13254096,0953796
"346";605;25072;13254381,6734211
"1505";2417;4056;13298037,7891481
"206";316;25053;13301464,3404834
"656";1139;11007;13307837,3885546
"1318";2110;30002;13310319,138703
"420";747;4216;13317915,25443
"1534";2460;12044;13333129,1191184
"1646";2636;6049;13353464,6182282
"1491";2397;3023;13360276,7208988
"40";56;10080;13445564,9452312
"718";1220;1030;13466608,8010175
"934";1535;10050;13486572,6953795
"811";1371;15044;13581214,7547267
"14";18;19034;13581515,0906318
"848";1417;11008;13582351,981433
"1280";2049;9099;13582643,390335
"235";384;25004;13630851,9743113
"1215";1952;4213;13637552,5232727
"331";568;21033;13656105,1108098
"1578";2527;9044;13661978,3078425
"497";882;9085;13716465,9369226
"1592";2546;22052;13725031,201611
"598";1044;37020;13726693,558881
"1051";1709;8254;13749496,8864775
"283";469;23054;13819474,1547267
"1276";2040;9099;13830988,8051718
"371";646;25131;13857940,9137772
"39";55;10080;13886880,4579908
"397";697;22025;13998377,7185249
"828";1390;11030;14009038,1315813
"1583";2533;9044;14016235,0176347
"243";402;25106;14023875,9292074
"1594";2550;22052;14024262,9594745
"766";1296;3117;14025926,9493855
"922";1521;12046;14095841,6283172
"354";620;25035;14102596,8045784
"1402";2240;15043;14174466,6924122
"1259";2019;19051;14181624,9030947
"274";455;23054;14189941,5416704
"558";978;10074;14205996,0407801
"1605";2576;25042;14251816,69716
"124";176;15018;14253995,2799493
"1106";1795;6007;14281519,190335
"167";248;24094;14291004,8336585
"738";1248;6049;14327500,4852905
"569";1002;6049;14336627,2585843
"429";764;37001;14383347,3493855
"1114";1808;12046;14389465,8336585
"1021";1665;8258;14396236,5404834
"1469";2358;38048;14419996,6823232
"246";411;25024;14429350,095973
"759";1287;37022;14431215,8306911
"1684";2692;9091;14455607,8805428
"130";187;30018;14467197,612887
"1381";2211;39052;14469467,034252
"454";798;22089;14504844,3986436
"627";1093;1014;14555981,0894448
"1413";2256;25155;14583933,749979
"799";1356;26025;14633985,5007208
"1194";1920;10108;14644036,7191184
"609";1061;1071;14655693,4597712
"1604";2573;25042;14662010,2010175
"368";641;25131;14678353,5731244
"985";1613;10120;14684500,9030947
"464";813;39051;14685297,3357356
"873";1456;11078;14687304,8793558
"806";1365;26025;14689213,8870709
"318";547;23011;14710444,7654092
"252";418;25024;14722240,3381095
"1253";2012;23085;14731941,4484953
"1542";2475;3104;14732445,3078425
"529";940;22052;14765180,3719374
"590";1032;21040;14775011,3333617
"822";1384;11030;14784063,4953795
"703";1200;15007;14795643,6188217
"73";97;15051;14824279,0401867
"336";581;26015;14914744,9309879
"1002";1638;30016;14922949,9013143
"424";756;4216;15032105,4419671
"1284";2057;25056;15098156,0140739
"989";1619;10082;15136264,4152609
"69";92;15047;15156011,8573974
"921";1520;12046;15191498,5743113
"1513";2433;38038;15200472,7321748
"1295";2073;39059;15269609,391522
"547";965;8234;15281769,8413736
"264";432;25024;15383509,0479018
"795";1350;3110;15475886,958881
"827";1389;11033;15491312,2710472
"536";951;22052;15491352,958881
"1683";2691;9091;15508994,1090294
"310";537;23011;15527527,1381095
"1127";1823;2005;15533414,7933024
"834";1399;15015;15615600,9535398
"1176";1893;4050;15651279,9938959
"1252";2011;23085;15654300,6265368
"1159";1872;3010;15657661,7968632
"626";1092;1040;15661730,2004241
"1655";2654;20062;15690468,5298009
"434";773;15050;15705002,3956763
"253";419;25024;15751701,0781689
"1163";1876;2011;15752891,9725309
"139";200;18038;15768904,0395932
"31";45;18026;15807869,2306911
"1148";1855;3011;15809961,7303944
"1415";2259;25155;15829010,1381095
"1016";1659;8258;15856533,0200086
"537";952;10080;15874350,4906318
"418";743;22025;16031332,9938959
"719";1221;1030;16064035,9422638
"240";395;25106;16125176,9891481
"23";31;19034;16136861,927427
"239";393;25106;16156656,5565071
"226";363;23048;16160880,4170413
"414";732;20044;16163051,8953795
